realization,protocol,d_collected,F_cond,P_success,Y_weighted
39,matched,4,0.989575256714546,0.25263364085114215,0.24999999999999942
39,matched,5,0.9977611148446534,0.25056097725247906,0.24999999999999933
39,matched,6,0.9992081278597142,0.25019812492467897,0.2499999999999994
39,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
40,matched,1,0.56373468904732,0.4434710243261516,0.24999999999999958
40,matched,2,0.83925089765572,0.29788469776836063,0.24999999999999953
40,matched,3,0.9533936946618427,0.26222115942215396,0.24999999999999942
40,matched,4,0.9896346349747228,0.25261848278621024,0.24999999999999947
40,matched,5,0.9972007041196123,0.25070178848370767,0.2499999999999994
40,matched,6,0.9996063186105761,0.25009845910887407,0.24999999999999933
40,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
41,matched,1,0.5696311536380898,0.43888049030203674,0.24999999999999967
41,matched,2,0.8418163211169285,0.29697689831945473,0.24999999999999953
41,matched,3,0.9562275971612892,0.26144403355661716,0.2499999999999995
41,matched,4,0.9891968764610832,0.25273027639795104,0.2499999999999994
41,matched,5,0.9970363308774921,0.2507431196413618,0.24999999999999942
41,matched,6,0.999675545346966,0.2500811399895049,0.24999999999999922
41,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
42,matched,1,0.5712035394041153,0.437672358019353,0.24999999999999956
42,matched,2,0.8351156486454498,0.2993597358707112,0.2499999999999995
42,matched,3,0.954325261802053,0.26196519154059095,0.24999999999999942
42,matched,4,0.9874684144336354,0.2531726547865204,0.24999999999999944
42,matched,5,0.9973803000363779,0.25065664520432274,0.24999999999999933
42,matched,6,0.9996157412788197,0.2500961016081755,0.2499999999999994
42,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
43,matched,1,0.5743747243385509,0.43525592162485777,0.24999999999999958
43,matched,2,0.8423698159683215,0.2967817640908933,0.24999999999999958
43,matched,3,0.9543953990336396,0.26194594007172883,0.24999999999999947
43,matched,4,0.9890960938883459,0.25275602799844915,0.24999999999999944
43,matched,5,0.9968604705275558,0.2507873542901094,0.24999999999999928
43,matched,6,0.9995167407642199,0.25012087322204524,0.2499999999999993
43,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
44,matched,1,0.5751281496046321,0.43468573077471573,0.24999999999999953
44,matched,2,0.844551250963806,0.29601519116181313,0.24999999999999944
44,matched,3,0.952077602778969,0.2625836373739784,0.24999999999999944
44,matched,4,0.986180549863804,0.25350327588039084,0.24999999999999944
44,matched,5,0.9970861155487813,0.25073059999677466,0.24999999999999933
44,matched,6,0.9993513637806088,0.25016226430535266,0.2499999999999993
44,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
45,matched,1,0.5707507759959074,0.4380195533922362,0.2499999999999996
45,matched,2,0.8419596324283904,0.2969263494010353,0.2499999999999995
45,matched,3,0.9582056158339192,0.26090433605153357,0.24999999999999953
45,matched,4,0.9896142587210244,0.25262368422530507,0.24999999999999942
45,matched,5,0.9976654703414403,0.25058499811007756,0.24999999999999944
45,matched,6,0.9997345900349836,0.2500663701065411,0.24999999999999933
45,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
46,matched,1,0.5708038414406122,0.43797883239370256,0.24999999999999947
46,matched,2,0.8437089203402419,0.29631072277768744,0.2499999999999994
46,matched,3,0.959559312320222,0.260536265752554,0.2499999999999993
46,matched,4,0.9912317589662445,0.25221145079201696,0.2499999999999994
46,matched,5,0.9981432476492968,0.25046505157327703,0.24999999999999936
46,matched,6,0.9995454668791652,0.2501136849537848,0.24999999999999925
46,matched,7,1.0000000000000004,0.24999999999999928,0.2499999999999994
47,matched,1,0.5720532151116402,0.43702227938918287,0.24999999999999956
47,matched,2,0.833749650942119,0.2998502004978412,0.2499999999999995
47,matched,3,0.9527677401533876,0.2623934348992039,0.24999999999999956
47,matched,4,0.9871794311054509,0.25324676763174403,0.2499999999999994
47,matched,5,0.9975810978687512,0.2506061918515733,0.24999999999999936
47,matched,6,0.999536520808645,0.2501159235259801,0.24999999999999928
47,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
48,matched,1,0.5742022807833844,0.43538663702088487,0.2499999999999996
48,matched,2,0.8395050443120237,0.2977945179648981,0.2499999999999995
48,matched,3,0.9571876864387459,0.2611817969891925,0.2499999999999994
48,matched,4,0.9899844686948147,0.2525292142508022,0.24999999999999947
48,matched,5,0.9982790056180524,0.2504309903274185,0.24999999999999944
48,matched,6,0.9996306893875643,0.2500923617632877,0.2499999999999994
48,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
49,matched,1,0.572409628556138,0.4367501654900645,0.2499999999999996
49,matched,2,0.8434433592676709,0.29640401723841286,0.24999999999999958
49,matched,3,0.9552262585607071,0.26171809847091987,0.2499999999999995
49,matched,4,0.9875100247119779,0.253161986961009,0.24999999999999942
49,matched,5,0.996967179571513,0.25076051160224444,0.2499999999999993
49,matched,6,0.9993554846943984,0.25016123274337054,0.24999999999999928
49,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
50,matched,1,0.568248131679584,0.43994865282014894,0.24999999999999958
50,matched,2,0.8361278371487446,0.2989973409479073,0.2499999999999995
50,matched,3,0.9525535524626974,0.2624524357225465,0.24999999999999942
50,matched,4,0.9869552696755522,0.25330428610222977,0.24999999999999942
50,matched,5,0.9977693327951389,0.25055891355134396,0.24999999999999936
50,matched,6,0.9994438146795297,0.25013912370868147,0.2499999999999994
50,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
51,matched,1,0.5731232647955051,0.4362063370245519,0.2499999999999996
51,matched,2,0.8433992102880441,0.29641953294527945,0.24999999999999956
51,matched,3,0.9545517594363844,0.2619030320028032,0.24999999999999947
51,matched,4,0.9872233964596817,0.253235489451054,0.24999999999999944
51,matched,5,0.9967135380585738,0.2508243245967706,0.2499999999999994
51,matched,6,0.999145083215626,0.25021391207311444,0.24999999999999925
51,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
52,matched,1,0.5688366843395218,0.4394934554726817,0.24999999999999953
52,matched,2,0.8428774779992727,0.2966030135167703,0.24999999999999956
52,matched,3,0.9578473318979939,0.26100192762934304,0.24999999999999953
52,matched,4,0.989833100274512,0.2525678318199973,0.24999999999999947
52,matched,5,0.9973415162220054,0.25066639253825074,0.24999999999999936
52,matched,6,0.999633281572929,0.2500917132397021,0.24999999999999933
52,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
53,matched,1,0.5731804584317045,0.4361628110700628,0.2499999999999995
53,matched,2,0.83725863257859,0.29859351731023576,0.24999999999999953
53,matched,3,0.9527082525748736,0.2624098188761642,0.24999999999999947
53,matched,4,0.9869650074642182,0.2533017869015615,0.24999999999999947
53,matched,5,0.9970636116197744,0.2507362590375385,0.24999999999999942
53,matched,6,0.9997525011914745,0.2500618900198369,0.2499999999999994
53,matched,7,1.0,0.24999999999999942,0.24999999999999942
54,matched,1,0.5704198996487619,0.4382736299240927,0.24999999999999958
54,matched,2,0.8398939500754892,0.2976566267414233,0.2499999999999995
54,matched,3,0.9491659976157356,0.26338912332298964,0.24999999999999947
54,matched,4,0.987847236883441,0.2530755674214612,0.24999999999999942
54,matched,5,0.9969391895105044,0.2507675519534436,0.24999999999999936
54,matched,6,0.9993621377298805,0.2501595673495211,0.24999999999999942
54,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
