realization,scenario,collected_event,omega_at_infinity,gamma_used_only_in_sampling_law,event_conditioned_transmissivity,S_R_nats,I_QR_nats,A_op
21,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5492480818371526,1.202554746696133,0.1325401152720026
21,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0309150061912744,1.3465408088709359,0.028676126343643582
21,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3769597051791616,1.3792887909418607,0.005053450677221627
21,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599453,1.3862943611198904,1.1102230246251565e-16
22,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6881949634965137,0.006921456849888763,0.9950072242634692
22,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3741479503610314,0.04412172582482121,0.9681729024785339
22,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.008264272596666,0.17549489418486353,0.873407193229082
22,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5224336828462146,0.6936494296887199,0.499637703836313
22,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5003781840744965,1.1821086707626831,0.14728884144941634
22,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0029837439808897,1.3288885347446002,0.041409550514882154
22,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.364901501414753,1.3725063920003064,0.009945917336377064
22,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599452,1.38629436111989,4.440892098500626e-16
23,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6847015832940806,0.00717707048038374,0.9948228380049199
23,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3729316083037655,0.04116902252817445,0.9703028276801784
23,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.030582458477208,0.18877108890974803,0.8638304430833484
23,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5372514313973786,0.7316295692619614,0.4722408243290199
23,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.512663920337232,1.2122466263000005,0.1255489019513064
23,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.014441888743277,1.3565676384497252,0.02144329768906461
23,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.375969051124819,1.3788385295709622,0.005378245600671239
23,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599452,1.3862943611198904,1.1102230246251565e-16
24,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6917497205389537,0.009132349305318144,0.9934124024727758
24,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.352142089339544,0.04866679191518353,0.9648943303239949
24,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,1.9981824909054895,0.17978072823862856,0.8703156174613621
24,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.4815328279251885,0.6777487110442708,0.5111076478037717
24,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.51951808924656,1.199885734364468,0.13446540069948498
24,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0058706775783306,1.3303708836046733,0.04034026184023476
24,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3772663755202603,1.3783103833628543,0.0057592225583220635
24,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599455,1.3862943611198906,0.0
25,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6920251507608922,0.00980307709411865,0.9929285746454314
25,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.380341572276949,0.0470881618498562,0.9660330712073177
25,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0360633060299547,0.2065453294339452,0.851009038753435
25,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.56093774970945,0.7007264589833682,0.49453270630250556
25,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5413541061822498,1.207611206610872,0.12889265045027876
25,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0407753760574208,1.3557066178697095,0.022064392749510553
25,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3795115793790607,1.3796882880654537,0.004765274417693144
25,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599453,1.3862943611198901,3.3306690738754696e-16
26,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6919418002733773,0.004908771080994745,0.9964590701522948
26,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3756670569382643,0.036397793438230686,0.9737445419536819
26,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.019471208975137,0.1601426720960899,0.8844814805661319
26,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5341268575184905,0.6831361446217592,0.5072214359510911
26,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5177551443686905,1.1983670502541521,0.13556089971679974
26,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0263589170751426,1.3453062502152424,0.029566672168771402
26,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3788168399626781,1.3809928314808486,0.0038242452596858323
26,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198908,-2.220446049250313e-16
27,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.691059615233002,0.0022290391045178826,0.9983920881689823
27,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.372469702645252,0.04384262109397197,0.9683742339840764
27,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0406429637056114,0.16848707487504688,0.8784622663119412
27,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5499940025823795,0.7078447746943226,0.48939792691466755
27,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5592486984627394,1.2244590439439644,0.11673950476520056
27,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0321685786958015,1.3478611914252487,0.02772367166205192
27,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.374175829841561,1.3761030938765295,0.007351445356185593
27,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198908,-2.220446049250313e-16
28,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6895956917812254,0.013203144969351488,0.9904759441142893
28,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3704864815060915,0.03275257055626213,0.9763740144410574
28,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.023967938983966,0.16233449577381265,0.8829004139909551
28,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.477059437870616,0.6673905686686821,0.5185794681228135
